pos,category,sub_category,abbrev,label,sub_label,field_length,min,min_numeric,max,max_numeric,units,scaling_factor,scaling_factor_numeric,missing,missing_numeric,description,dom,dom_parsed_json
NA,additional-data section,cloud and solar data,GP1,NA,NA,4,0001,1,9998,9998,Minutes,NA,NA,9999,9999,MIN: 0001 MAX: 9998 UNITS: Minutes DOM: A general domain comprised of the numeric characters (0-9).,A general domain comprised of the numeric characters (0-9). 9999 = Missing.,"{""9999"":""Missing.""}"
NA,additional-data section,cloud and solar data,GP1,modeled global horizontal,NA,4,0000,0,9998,9998,watts per square meter,1,1,9999,9999,Total amount of direct and diffuse solar radiation (modeled) received on a horizontal surface. Unit is watts per square meter (W/m2) in whole values.,A general domain comprised of the numeric characters (0-9). 9999 = Missing.,"{""9999"":""Missing.""}"
NA,additional-data section,cloud and solar data,GP1,modeled global horizontal,source flag,2,NA,NA,NA,NA,NA,NA,NA,99,99,The code that provides source information regarding the global horizontal data.,"A specific domain comprised of the numeric characters (00-99). 01 = Value modeled from METSTAT model 02 = Value time-shifted from SUNY satellite model 03 = Value time-shifted from SUNY satellite model, adjusted to a minimum low-diffuse envelope 99 = Missing data","{""01"":""Value modeled from METSTAT model"",""02"":""Value time-shifted from SUNY satellite model"",""03"":""Value time-shifted from SUNY satellite model, adjusted to a minimum low-diffuse envelope"",""99"":""Missing data""}"
NA,additional-data section,cloud and solar data,GP1,modeled global horizontal,uncertainty,3,000,0,100,100,Percent,1,1,999,999,The uncertainty values are based on model type and quality of input data.,A general domain comprised of the numeric characters (0-9). 999 = Missing data 75,"{""999"":""Missing data 75""}"
NA,additional-data section,cloud and solar data,GP1,modeled direct normal,NA,4,0000,0,9998,9998,watts per square meter,1,1,9999,9999,The amount of solar radiation (modeled) on a surface normal to the sun. Unit is watts per square meter (W/m2) in whole values.,A general domain comprised of the numeric characters (0-9). 9999 = Missing.,"{""9999"":""Missing.""}"
NA,additional-data section,cloud and solar data,GP1,modeled direct normal,source flag,2,NA,NA,NA,NA,NA,NA,NA,99,99,The code that provides source information regarding the direct normal data.,"A specific domain comprised of the numeric characters (00-99). 01 = Value modeled from METSTAT model 02 = Value time-shifted from SUNY satellite model 03 = Value time-shifted from SUNY satellite model, adjusted to a minimum low-diffuse envelope 99 = Missing data","{""01"":""Value modeled from METSTAT model"",""02"":""Value time-shifted from SUNY satellite model"",""03"":""Value time-shifted from SUNY satellite model, adjusted to a minimum low-diffuse envelope"",""99"":""Missing data""}"
NA,additional-data section,cloud and solar data,GP1,modeled direct normal,uncertainty,3,000,0,100,100,Percent,1,1,999,999,The uncertainty values are based on model type and quality of input data.,A general domain comprised of the numeric characters (0-9). 999 = Missing data,"{""999"":""Missing data""}"
NA,additional-data section,cloud and solar data,GP1,modeled diffuse horizontal,NA,4,0000,0,9998,9998,watts per square meter,1,1,9999,9999,The amount of solar radiation (modeled) received from the sky (excluding the solar disk) on a horizontal surface.,A general domain comprised of the numeric characters (0-9). 9999 = Missing.,"{""9999"":""Missing.""}"
NA,additional-data section,cloud and solar data,GP1,modeled diffuse horizontal,source flag,2,NA,NA,NA,NA,NA,NA,NA,99,99,The code that provides source information regarding the diffuse horizontal data.,"A specific domain comprised of the numeric characters (00-99). 01 = Value modeled from METSTAT model 02 = Value time-shifted from SUNY satellite model 03 = Value time-shifted from SUNY satellite model, adjusted to a minimum low-diffuse envelope 99 = Missing data","{""01"":""Value modeled from METSTAT model"",""02"":""Value time-shifted from SUNY satellite model"",""03"":""Value time-shifted from SUNY satellite model, adjusted to a minimum low-diffuse envelope"",""99"":""Missing data""}"
NA,additional-data section,cloud and solar data,GP1,modeled diffuse horizontal,uncertainty,3,000,0,100,100,Percent,1,1,999,999,The uncertainty values are based on model type and quality of input data.,A general domain comprised of the numeric characters (0-9) 999 = Missing data,"{""999"":""Missing data""}"
NA,additional-data section,cloud and solar data,GQ1,hourly solar angle section,identifier,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,The identifier that denotes the start of the Hourly Solar angle data section.,A specific domain comprised of the characters in the ASCII character set. GQ1 An indicator of the occurrence of the following items: Hourly solar angle time period Hourly mean zenith angle 76 Hourly mean zenith angle quality code Hourly mean azimuth angle Hourly mean azimuth angle quality code,"{""items"":""Hourly solar angle time period Hourly mean zenith angle 76 Hourly mean zenith angle quality code Hourly mean azimuth angle Hourly mean azimuth angle quality code""}"
NA,additional-data section,cloud and solar data,GQ1,NA,NA,4,0001,1,9998,9998,Minutes,NA,NA,9999,9999,MIN: 0001 MAX: 9998 UNITS: Minutes DOM: A general domain comprised of the numeric characters (0-9).,A general domain comprised of the numeric characters (0-9). 9999 = Missing data,"{""9999"":""Missing data""}"
NA,additional-data section,cloud and solar data,GQ1,hourly mean zenith angle (for sunup periods,NA,4,0000,0,3600,3600,Angular Degrees,10,10,9999,9999,The angle between sun and the zenith as the mean of all 1-minute sunup zenith angle values.,A general domain comprised of the numeric characters (0-9). 9999 = Missing data,"{""9999"":""Missing data""}"
NA,additional-data section,cloud and solar data,GQ1,hourly mean zenith angle (for sunup periods,quality code,1,NA,NA,NA,NA,NA,NA,NA,9,9,The code that denotes a quality status of the hourly mean zenith angle.,A specific domain comprised of the numeric characters (0-9). 0 = Passed gross limits check 1 = Passed all quality control checks 2 = Suspect 3 = Erroneous 9 = Missing,"{""0"":""Passed gross limits check"",""1"":""Passed all quality control checks"",""2"":""Suspect"",""3"":""Erroneous"",""9"":""Missing""}"
NA,additional-data section,cloud and solar data,GQ1,hourly mean azimuth angle (for sunup periods),NA,4,0000,0,3600,3600,Angular Degrees,10,10,9999,9999,The angle between sun and north as the mean of all 1-minute sunup azimuth angle values.,A general domain comprised of the numeric characters (0-9). 9999 = Missing data,"{""9999"":""Missing data""}"
NA,additional-data section,cloud and solar data,GQ1,hourly mean azimuth angle (for sunup periods),quality code,1,NA,NA,NA,NA,NA,NA,NA,9,9,The code that denotes a quality status of the hourly mean azimuth angle.,A specific domain comprised of the numeric characters (0-9). 0 = Passed gross limits check 1 = Passed all quality control checks 2 = Suspect 3 = Erroneous 9 = Missing,"{""0"":""Passed gross limits check"",""1"":""Passed all quality control checks"",""2"":""Suspect"",""3"":""Erroneous"",""9"":""Missing""}"
NA,additional-data section,cloud and solar data,GR1,hourly extraterrestrial radiation section,identifier,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,The identifier that denotes the start of the Hourly Extraterrestrial radiation data section.,A specific domain comprised of the characters in the ASCII character set. GR1 An indicator of the occurrence of the following items: Hourly extraterrestrial radiation time period Hourly extraterrestrial radiation on a horizontal surface Hourly extraterrestrial radiation on a horizontal surface quality code Hourly extraterrestrial radiation normal to the sun Hourly extraterrestrial radiation normal to the sun quality code,"{""items"":""Hourly extraterrestrial radiation time period Hourly extraterrestrial radiation on a horizontal surface Hourly extraterrestrial radiation on a horizontal surface quality code Hourly extraterrestrial radiation normal to the sun Hourly extraterrestrial radiation normal to the sun quality code""}"
NA,additional-data section,cloud and solar data,GR1,NA,NA,4,0001,1,9998,9998,Minutes,1,1,9999,9999,MIN: 0001 MAX: 9998 UNITS: Minutes SCALING FACTOR: 1,A general domain comprised of the numeric characters (0-9). 9999 = Missing data,"{""9999"":""Missing data""}"
NA,additional-data section,cloud and solar data,GR1,hourly extraterrestrial radiation on a horizontal surface,NA,4,0000,0,9998,9998,watts per square meter,1,1,9999,9999,The amount of solar radiation received (modeled) on a horizontal surface at the top of the atmosphere. Unit is watts per square meter (W/m2) in whole values.,A general domain comprised of the numeric characters (0-9). 9999 = Missing data,"{""9999"":""Missing data""}"
NA,additional-data section,cloud and solar data,GR1,hourly extraterrestrial radiation on a horizontal surface,quality code,1,NA,NA,NA,NA,NA,NA,NA,9,9,The code that denotes a quality status of the hourly extraterrestrial radiation on a horizontal surface value .,A specific domain comprised of the numeric characters (0-9). 0 = Passed gross limits check 1 = Passed all quality control checks 2 = Suspect 3 = Erroneous 9 = Missing,"{""0"":""Passed gross limits check"",""1"":""Passed all quality control checks"",""2"":""Suspect"",""3"":""Erroneous"",""9"":""Missing""}"
NA,additional-data section,cloud and solar data,GR1,hourly extraterrestrial radiation normal to the sun,NA,4,0000,0,9998,9998,watts per square meter,1,1,9999,9999,The amount of solar radiation received (modeled) on a surface normal to the sun at the top of the atmosphere. Unit is watts per square meter (W/m2) in whole values.,A general domain comprised of the numeric characters (0-9). 9999 = Missing data,"{""9999"":""Missing data""}"
NA,additional-data section,cloud and solar data,GR1,hourly extraterrestrial radiation normal to the sun,quality code,1,NA,NA,NA,NA,NA,NA,NA,9,9,The code that denotes a quality status of the hourly extraterrestrial radiation normal to the sun value.,A specific domain comprised of the numeric characters (0-9). 0 = Passed gross limits check 1 = Passed all quality control checks 2 = Suspect 3 = Erroneous 9 = MissingHail Data,"{""0"":""Passed gross limits check"",""1"":""Passed all quality control checks"",""2"":""Suspect"",""3"":""Erroneous"",""9"":""MissingHail Data""}"
NA,additional-data section,hail data,HL1,hail,identifier,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,The identifier that denotes the start of a HAIL data section.,A specific domain comprised of the characters in the ASCII character set. HL1 An indicator of the occurrence of the following item: Hail size Hail size quality code,"{""item"":""Hail size Hail size quality code""}"
NA,additional-data section,hail data,HL1,hail,size,3,000,0,200,200,Centimeters,10,10,NA,NA,The diameter of the largest hailstone observed.,A general domain comprised of the numeric characters (0-9) 999 = missing 78,"{""999"":""missing 78""}"
NA,additional-data section,hail data,HL1,hail,size quality code,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,The code that denotes a quality status of the reported HAIL size.,A specific domain comprised of the characters in the ASCII character set. 0 = Passed gross limits check 1 = Passed all quality control checks 2 = Suspect 3 = Erroneous 9 = Passed gross limits check if element is presentGround Surface Data,"{""0"":""Passed gross limits check"",""1"":""Passed all quality control checks"",""2"":""Suspect"",""3"":""Erroneous"",""9"":""Passed gross limits check if element is presentGround Surface Data""}"
